city,bedrooms,city_center_dist_km,metro_dist_km,daily_price,weekends
Amsterdam,1,2.123,0.503,841.98,1
Amsterdam,2,3.575,0.769,546.72,1
Amsterdam,3,1.406,0.67,1179.9,1
Amsterdam,2,3.544,0.44,602.25,1
Amsterdam,1,2.759,0.855,358.77,1
Amsterdam,1,6.763,3.934,332.06,1
Amsterdam,1,2.496,0.976,953.76,1
Amsterdam,1,7.326,3.514,393.46,1
Amsterdam,3,3.705,2.291,753.4,1
Amsterdam,2,3.434,0.29,762.07,1
Amsterdam,2,3.85,1.0,553.04,1
Amsterdam,2,1.976,0.354,1167.48,1
Amsterdam,2,1.092,0.565,860.26,1
Amsterdam,1,3.011,0.897,276.52,1
Amsterdam,2,0.527,0.224,1450.33,1
Amsterdam,0,0.898,0.718,528.2,1
Amsterdam,3,1.435,0.558,2175.61,1
Amsterdam,2,11.038,0.627,491.65,1
Amsterdam,0,0.949,0.773,454.85,1
Amsterdam,1,3.911,0.933,718.96,1
Amsterdam,1,1.627,0.574,374.94,1
Amsterdam,1,1.094,0.614,368.62,1
Amsterdam,3,1.474,1.22,798.63,1
Amsterdam,2,2.411,0.252,560.54,1
Amsterdam,1,3.608,0.75,368.85,1
Amsterdam,1,1.492,1.504,370.02,1
Amsterdam,1,1.201,0.495,368.62,1
Amsterdam,1,7.028,3.594,371.19,1
Amsterdam,2,2.621,0.817,342.84,1
Amsterdam,1,3.435,1.92,467.04,1
Amsterdam,1,5.304,0.42,319.64,1
Amsterdam,1,2.477,1.436,344.25,1
Amsterdam,1,1.578,0.317,743.8,1
Amsterdam,0,0.843,0.889,596.4,1
Amsterdam,2,2.34,0.608,796.52,1
Amsterdam,1,0.68,0.449,300.89,1
Amsterdam,1,1.622,0.503,350.34,1
Amsterdam,0,0.139,0.197,1567.27,1
Amsterdam,1,3.838,2.813,614.44,1
Amsterdam,1,1.063,1.196,498.91,1
Amsterdam,2,1.237,1.052,1086.64,1
Amsterdam,2,0.787,0.101,614.44,1
Amsterdam,1,7.084,3.413,201.53,1
Amsterdam,2,0.288,0.071,1044.69,1
Amsterdam,2,3.995,1.017,758.32,1
Amsterdam,1,3.568,2.369,417.83,1
Amsterdam,2,2.341,0.663,508.75,1
Amsterdam,1,2.332,0.1,307.22,1
Amsterdam,1,0.757,0.921,835.89,1
Amsterdam,1,0.364,0.38,650.06,1
Amsterdam,2,3.963,0.807,891.2,1
Amsterdam,1,4.697,3.406,446.18,1
Amsterdam,2,0.692,0.808,1527.66,1
Amsterdam,1,2.255,0.31,393.46,1
Amsterdam,2,7.822,3.901,513.67,1
Amsterdam,0,2.979,1.458,436.11,1
Amsterdam,1,4.288,1.256,204.11,1
Amsterdam,1,1.842,0.528,286.36,1
Amsterdam,1,3.29,1.32,186.77,1
Amsterdam,2,1.602,1.501,921.66,1
Amsterdam,1,0.555,0.346,734.89,1
Amsterdam,1,0.829,0.904,393.46,1
Amsterdam,1,6.479,4.096,295.27,1
Amsterdam,1,7.973,0.585,208.8,1
Amsterdam,1,7.897,3.35,510.16,1
Amsterdam,2,1.994,0.201,700.44,1
Amsterdam,1,6.297,1.978,245.82,1
Amsterdam,1,3.647,2.454,334.17,1
Amsterdam,1,1.511,1.268,971.11,1
Amsterdam,1,1.898,1.908,571.56,1
Amsterdam,1,4.161,0.895,325.73,1
Amsterdam,1,0.333,0.293,459.54,1
Amsterdam,1,4.574,3.15,215.12,1
Amsterdam,1,0.782,0.73,971.11,1
Amsterdam,1,2.158,1.496,504.07,1
Amsterdam,1,1.871,1.53,393.46,1
Amsterdam,2,3.125,0.549,909.47,1
Amsterdam,1,3.135,1.955,393.46,1
Amsterdam,3,2.038,0.155,1892.77,1
Amsterdam,1,2.152,1.643,706.77,1
Amsterdam,3,9.596,0.31,651.23,1
Amsterdam,4,7.331,4.334,798.63,1
Amsterdam,3,3.388,2.112,613.27,1
Amsterdam,1,2.433,0.729,276.29,1
Amsterdam,2,2.355,1.805,280.04,1
Amsterdam,1,0.539,0.248,489.3,1
Amsterdam,1,1.844,0.351,1259.81,1
Amsterdam,1,2.458,1.792,344.25,1
Amsterdam,1,1.888,1.806,534.76,1
Amsterdam,2,2.603,1.236,1166.55,1
Amsterdam,1,1.772,1.642,398.14,1
Amsterdam,1,1.94,1.717,432.59,1
Amsterdam,2,1.219,1.164,1186.0,1
Amsterdam,1,2.444,1.255,267.85,1
Amsterdam,1,6.641,2.124,337.92,1
Amsterdam,1,1.171,0.551,509.92,1
Amsterdam,3,2.182,0.467,1296.6,1
Amsterdam,1,1.863,0.703,344.25,1
Amsterdam,1,0.972,0.468,588.43,1
Amsterdam,1,0.993,1.085,814.57,1
Amsterdam,1,1.705,1.772,394.39,1
Amsterdam,3,2.328,0.718,1413.54,1
Amsterdam,2,2.878,1.071,565.46,1
Amsterdam,1,4.296,0.771,441.26,1
Amsterdam,2,2.976,1.655,2058.91,1
Amsterdam,1,4.09,1.513,430.25,1
Amsterdam,1,1.517,1.429,602.25,1
Amsterdam,1,1.01,0.871,583.98,1
Amsterdam,1,6.525,1.954,337.92,1
Amsterdam,1,1.557,1.494,344.25,1
Amsterdam,0,2.835,1.36,589.83,1
Amsterdam,1,4.044,1.486,344.48,1
Amsterdam,1,3.402,1.283,385.49,1
Amsterdam,1,3.627,1.699,424.16,1
Amsterdam,1,1.277,0.673,430.25,1
Amsterdam,1,1.412,0.166,546.95,1
Amsterdam,1,1.239,0.738,430.25,1
Amsterdam,1,1.432,1.382,774.49,1
Amsterdam,2,2.863,1.726,577.41,1
Amsterdam,1,1.479,1.603,792.77,1
Amsterdam,2,1.934,1.271,368.85,1
Amsterdam,0,2.092,1.106,441.03,1
Amsterdam,0,2.239,1.031,441.03,1
Amsterdam,1,4.222,0.318,310.97,1
Amsterdam,1,3.152,0.92,307.22,1
Amsterdam,1,2.891,1.048,313.55,1
Amsterdam,3,2.004,1.824,743.8,1
Amsterdam,1,3.439,0.819,385.49,1
Amsterdam,1,1.271,0.707,556.56,1
Amsterdam,1,1.087,0.705,513.67,1
Amsterdam,1,1.369,1.487,449.7,1
Amsterdam,1,1.947,1.896,428.37,1
Amsterdam,1,2.433,1.879,385.49,1
Amsterdam,1,0.185,0.421,516.25,1
Amsterdam,1,2.379,1.526,516.02,1
Amsterdam,2,2.271,1.673,491.88,1
Amsterdam,1,4.084,0.859,417.83,1
Amsterdam,1,2.267,0.078,300.89,1
Amsterdam,1,0.955,0.588,794.41,1
Amsterdam,1,1.017,0.566,1007.9,1
Amsterdam,1,2.999,1.027,274.18,1
Amsterdam,1,1.134,0.599,650.06,1
Amsterdam,1,1.356,1.355,390.88,1
Amsterdam,2,4.153,0.657,700.44,1
Amsterdam,2,3.753,0.78,546.72,1
Amsterdam,1,1.536,1.474,698.33,1
Amsterdam,2,4.755,0.982,921.66,1
Amsterdam,1,0.48,0.337,328.31,1
Amsterdam,1,2.283,0.665,921.89,1
Amsterdam,0,0.922,0.968,566.63,1
Amsterdam,2,3.695,1.458,725.05,1
Amsterdam,1,2.221,1.702,256.84,1
Amsterdam,2,1.273,1.353,789.02,1
Amsterdam,2,1.769,1.585,651.23,1
Amsterdam,1,3.81,0.418,624.52,1
Amsterdam,1,3.024,0.798,320.81,1
Amsterdam,1,7.155,4.135,177.16,1
Amsterdam,1,0.908,0.403,551.64,1
Amsterdam,2,1.604,0.688,1290.51,1
Amsterdam,1,7.548,3.271,218.87,1
Amsterdam,1,1.306,1.283,501.49,1
Amsterdam,1,1.056,0.657,468.45,1
Amsterdam,1,7.952,3.973,428.37,1
Amsterdam,1,8.257,3.962,295.03,1
Amsterdam,1,1.634,1.106,272.77,1
Amsterdam,1,3.625,0.428,405.88,1
Amsterdam,3,4.076,0.834,504.07,1
Amsterdam,2,2.954,1.456,768.17,1
Amsterdam,1,3.536,2.443,330.65,1
Amsterdam,2,2.297,0.528,875.03,1
Amsterdam,0,1.702,1.839,522.34,1
Amsterdam,1,1.707,1.461,786.68,1
Amsterdam,1,1.443,1.543,497.5,1
Amsterdam,1,1.205,1.016,325.97,1
Amsterdam,2,2.372,0.427,737.23,1
Amsterdam,3,3.079,0.497,952.59,1
Amsterdam,1,2.747,1.165,250.51,1
Amsterdam,1,3.61,1.007,378.69,1
Amsterdam,1,5.179,3.487,205.28,1
Amsterdam,1,3.611,0.841,405.88,1
Amsterdam,1,5.108,1.299,385.96,1
Amsterdam,1,4.263,0.807,367.45,1
Amsterdam,2,0.563,0.485,1259.58,1
Amsterdam,0,6.961,3.755,288.71,1
Amsterdam,1,1.763,1.895,373.77,1
Amsterdam,0,0.855,0.684,462.12,1
Amsterdam,3,7.151,3.947,958.45,1
Amsterdam,1,1.975,1.95,299.02,1
Amsterdam,1,3.008,0.861,405.88,1
Amsterdam,1,2.421,1.165,354.09,1
Amsterdam,2,2.529,0.566,786.68,1
Amsterdam,2,1.349,1.017,790.2,1
Amsterdam,4,3.164,1.464,838.47,1
Amsterdam,0,0.299,0.262,341.67,1
Amsterdam,1,2.643,1.843,295.03,1
Amsterdam,1,7.611,3.305,218.87,1
Amsterdam,2,0.015,0.249,1413.54,1
Amsterdam,2,1.089,0.607,1020.08,1
Amsterdam,0,0.709,0.477,430.25,1
Amsterdam,2,2.309,0.48,639.05,1
Amsterdam,1,3.798,1.534,367.68,1
Amsterdam,1,3.755,1.405,362.76,1
Amsterdam,2,3.298,1.162,639.05,1
Amsterdam,1,7.887,3.416,409.63,1
Amsterdam,1,2.636,1.273,439.86,1
Amsterdam,0,1.724,1.823,504.07,1
Amsterdam,1,1.495,1.52,596.16,1
Amsterdam,2,2.984,0.956,691.54,1
Amsterdam,1,10.189,0.228,386.9,1
Amsterdam,1,1.51,0.37,540.86,1
