city,bedrooms,city_center_dist_km,daily_price,weekends
London,1,3.678,524.47,1
London,1,4.042,491.54,1
London,1,8.748,231.9,0
Barcelona,3,1.445,481.53,0
London,2,4.019,232.6,0
London,1,4.594,500.01,0
London,1,4.756,271.41,0
London,1,3.913,489.66,0
London,2,4.807,914.89,1
London,2,4.44,433.22,1
London,0,7.647,291.4,1
London,1,13.34,180.39,1
Amsterdam,1,0.364,650.06,1
London,0,7.87,267.88,0
London,0,2.816,357.02,0
Amsterdam,1,9.336,399.55,0
Amsterdam,1,1.352,531.95,0
London,1,6.289,447.8,1
Amsterdam,0,2.183,765.82,1
London,1,0.995,631.01,0
London,1,7.681,206.73,0
London,2,9.867,413.46,0
Barcelona,2,1.343,769.43,1
London,2,4.405,489.66,1
London,1,3.819,460.5,1
London,0,3.906,289.52,1
Amsterdam,1,2.291,534.76,1
London,1,11.428,269.53,0
London,3,3.547,1287.19,1
London,1,5.142,374.89,1
London,2,3.73,1018.13,1
London,0,6.607,255.18,1
London,1,3.922,412.52,0
Amsterdam,2,2.34,796.52,1
London,0,7.413,263.88,0
London,1,2.696,597.85,1
London,1,11.428,270.23,1
London,1,4.825,437.92,1
London,1,4.003,435.57,1
London,2,3.653,796.35,1
London,0,6.924,213.55,0
London,1,6.298,310.45,1
Barcelona,3,2.647,509.23,1
London,2,10.498,313.27,1
London,2,5.94,515.53,0
Amsterdam,1,6.291,356.43,1
Barcelona,3,2.381,596.04,0
Amsterdam,1,2.065,748.25,1
London,0,3.816,505.19,0
London,0,4.011,349.02,1
London,0,4.185,353.25,1
Barcelona,1,1.078,613.26,0
London,1,6.658,278.46,0
London,0,8.193,265.06,1
London,2,3.92,451.09,1
London,1,3.743,473.67,0
London,1,5.537,548.23,1
London,2,4.895,1114.8,0
London,2,6.887,426.87,1
London,1,4.895,291.16,1
Barcelona,0,0.791,468.73,1
London,1,5.583,419.58,0
Amsterdam,2,4.094,676.07,1
Amsterdam,2,1.349,790.2,1
London,1,1.69,586.09,0
London,1,3.25,528.47,1
London,0,3.84,252.59,1
Barcelona,2,0.911,810.16,0
London,2,1.077,1397.96,1
London,3,5.481,566.81,1
London,1,3.678,297.75,0
Barcelona,2,3.22,462.68,1
London,1,1.599,547.76,1
London,1,3.819,917.47,1
London,1,0.913,710.51,0
London,1,6.876,522.35,1
London,2,5.945,711.21,1
London,1,4.412,349.26,1
London,1,4.733,232.84,1
London,2,1.754,989.68,0
London,2,2.663,380.07,1
London,1,6.779,252.12,0
London,1,8.06,349.02,1
Amsterdam,2,2.529,786.68,1
London,1,5.533,463.79,1
London,1,6.967,292.1,1
London,0,7.426,258.0,1
London,1,3.538,270.7,0
London,1,1.371,402.17,1
Amsterdam,2,2.943,409.63,1
London,2,4.813,905.24,0
Amsterdam,0,2.835,589.83,0
London,1,3.782,219.9,1
London,0,3.928,231.9,0
London,1,7.523,452.27,0
London,1,7.827,348.08,1
London,1,3.129,750.25,1
London,1,3.042,464.26,1
Amsterdam,2,0.729,1290.51,1
London,2,7.991,225.78,1
Amsterdam,1,2.208,553.04,1
London,1,2.415,600.67,0
London,2,6.361,424.28,1
Amsterdam,1,1.0,504.07,1
London,2,2.928,929.23,0
London,0,3.824,346.43,0
London,1,5.497,866.91,1
London,1,2.263,509.65,1
London,1,3.25,414.64,0
Barcelona,1,1.63,370.28,0
London,1,5.961,333.03,0
Barcelona,2,4.388,854.14,0
London,2,4.052,608.2,1
London,1,3.817,459.09,1
London,1,8.333,412.99,1
London,1,3.787,389.24,1
Amsterdam,1,0.899,540.62,0
London,2,5.945,710.51,0
London,1,5.454,360.78,1
London,1,1.199,724.38,0
London,1,5.377,284.11,0
London,2,6.158,400.76,0
Barcelona,1,3.954,275.56,0
London,0,5.013,214.02,1
Amsterdam,1,1.776,1030.16,1
London,1,3.579,452.03,0
London,1,7.658,349.26,0
London,1,1.48,1049.18,0
London,2,2.526,735.67,1
London,2,1.109,953.46,1
London,2,4.522,1326.0,0
Barcelona,0,0.593,408.45,0
Amsterdam,1,0.346,774.26,0
London,0,5.327,304.1,1
London,2,8.22,592.68,0
Amsterdam,1,3.327,378.69,0
London,1,6.881,219.67,1
London,1,1.437,654.53,0
London,2,7.48,449.68,1
London,1,7.49,258.71,0
London,3,6.974,317.03,1
London,1,4.191,431.57,0
Barcelona,1,0.909,451.51,0
London,1,4.771,389.94,0
Amsterdam,1,2.709,392.05,0
London,1,3.838,532.7,1
London,1,4.961,868.08,0
London,1,1.272,643.24,0
London,1,3.924,480.73,1
London,0,3.94,239.89,1
London,2,4.402,489.43,0
London,0,4.389,393.0,1
London,2,3.838,532.7,1
London,1,3.097,529.65,0
London,2,0.988,1125.61,1
London,2,4.666,492.25,1
Amsterdam,3,2.532,768.17,1
London,2,9.054,420.52,1
Barcelona,2,3.701,400.54,0
Amsterdam,1,1.729,694.58,1
London,2,4.863,466.85,1
London,0,2.141,398.17,1
London,2,4.915,451.56,0
London,2,5.432,599.97,1
London,1,4.075,462.38,1
Barcelona,1,1.497,462.91,1
London,2,6.027,374.89,1
Amsterdam,2,4.417,348.0,0
Barcelona,1,1.445,391.0,0
London,1,7.914,407.11,0
Barcelona,2,1.836,370.28,0
London,2,5.633,630.31,1
London,1,2.091,513.42,1
Amsterdam,1,2.147,458.37,0
Barcelona,2,0.334,671.21,0
London,1,9.29,722.74,1
London,0,2.032,296.34,1
Amsterdam,3,2.229,1130.69,0
London,1,6.627,226.25,1
London,1,2.91,774.95,0
Amsterdam,1,0.539,489.3,0
London,2,5.907,777.3,0
London,1,11.001,319.62,1
London,2,8.551,362.19,1
Barcelona,2,0.718,515.05,0
London,1,6.159,373.24,0
London,1,5.212,552.46,1
London,1,4.58,491.07,0
Amsterdam,1,3.991,899.63,0
London,2,0.55,969.68,1
Barcelona,2,0.836,341.42,0
London,2,4.025,473.44,1
Amsterdam,2,0.745,1032.5,1
Barcelona,1,1.112,416.6,0
Barcelona,2,1.793,678.19,0
London,2,4.341,684.64,0
London,2,1.133,1242.03,1
London,1,4.345,243.19,0
London,1,9.076,287.17,0
London,0,2.638,424.05,1
London,1,14.42,217.08,0
London,0,7.8,267.88,0
London,2,4.03,568.22,1
London,1,3.846,470.14,1
Barcelona,2,1.987,497.82,1
London,2,1.401,940.52,1
London,1,5.368,336.09,0
London,1,4.86,708.86,0
London,1,3.293,561.63,1
Amsterdam,3,2.328,1413.31,0
Amsterdam,2,3.586,921.66,0
London,1,4.658,321.97,0
London,1,5.372,407.35,0
London,1,3.844,362.19,0
London,1,1.81,439.8,1
London,1,4.964,249.3,0
Amsterdam,1,4.665,295.03,0
London,1,3.779,305.28,0
London,1,3.838,532.7,1
London,0,3.5,316.09,0
London,2,5.683,458.15,0
Barcelona,1,1.027,324.2,1
London,2,5.723,413.93,1
London,2,1.22,1306.71,1
London,2,4.57,751.19,1
London,1,1.434,676.17,0
London,0,4.185,378.89,1
London,1,3.977,322.21,1
London,1,4.316,770.71,1
London,2,4.164,966.39,1
London,0,2.431,618.55,1
London,2,3.772,1009.2,1
London,1,4.801,1032.48,0
London,1,7.194,231.9,0
London,1,5.966,432.98,1
Amsterdam,2,2.055,694.35,1
London,2,4.78,528.47,1
London,1,4.65,461.91,0
London,2,5.039,508.48,0
London,1,2.602,678.76,0
London,2,2.093,649.36,1
Amsterdam,1,2.273,310.97,1
London,2,4.451,924.29,1
London,1,1.921,431.57,0
London,0,4.556,433.22,1
Barcelona,2,2.308,514.81,1
Amsterdam,0,1.078,418.06,0
London,1,3.1,299.4,0
London,1,5.995,193.56,0
Barcelona,3,1.665,445.46,0
London,2,3.505,386.65,1
London,2,14.098,567.04,1
London,2,9.659,568.45,0
London,1,5.011,294.46,0
London,2,3.987,672.64,1
London,0,5.669,261.29,1
London,3,7.315,512.95,0
Amsterdam,1,1.056,468.45,1
London,1,6.575,303.86,1
London,0,3.495,291.4,1
London,1,6.588,284.81,0
London,1,6.87,349.02,1
London,2,2.38,636.66,1
Amsterdam,3,1.248,1473.77,1
London,1,5.657,262.71,1
London,1,2.165,500.01,1
London,1,7.771,257.77,0
London,1,11.316,296.57,0
London,1,7.517,791.88,0
London,2,3.813,374.89,1
London,0,6.936,190.74,1
London,1,2.684,750.49,1
London,2,2.771,543.29,1
London,0,5.613,263.18,1
Amsterdam,2,7.821,630.38,1
Amsterdam,2,0.832,1062.97,0
London,2,4.964,652.88,0
London,1,9.277,456.27,0
London,1,7.78,310.45,0
Amsterdam,1,3.911,718.96,1
London,1,6.066,181.1,1
Barcelona,0,1.042,340.26,0
London,1,4.493,365.95,1
London,0,4.502,405.94,0
London,0,4.953,429.69,0
London,1,4.887,690.51,1
London,2,8.823,319.62,0
London,1,5.904,336.56,1
London,1,4.509,475.55,1
Barcelona,2,1.808,893.48,0
London,2,3.201,567.98,0
Amsterdam,1,4.09,430.25,1
Barcelona,2,0.181,536.92,0
Amsterdam,2,2.525,657.32,0
London,1,1.541,737.32,1
London,2,5.851,481.43,0
London,1,1.483,569.63,0
Amsterdam,3,3.513,1044.69,0
London,2,2.492,555.05,0
Amsterdam,2,2.141,1148.97,1
London,1,4.641,389.24,1
London,2,3.593,537.41,1
London,1,4.623,537.17,0
London,1,8.076,305.28,1
London,1,7.232,378.89,0
London,1,7.262,411.11,1
London,2,2.613,763.19,1
Amsterdam,1,1.315,454.85,1
Amsterdam,0,0.593,423.92,1
Amsterdam,3,1.503,1179.9,1
London,1,4.625,278.23,1
Barcelona,1,3.513,489.45,0
London,1,3.008,799.64,1
Amsterdam,1,0.908,576.24,0
Amsterdam,1,2.521,405.64,0
London,1,4.93,491.07,0
London,2,4.173,871.14,0
London,1,8.255,258.71,0
London,2,3.145,795.17,0
London,1,4.531,479.32,0
Barcelona,1,2.435,472.22,1
London,2,4.751,704.86,1
London,1,3.974,748.14,0
London,2,6.138,543.05,1
Amsterdam,2,4.755,675.6,0
London,2,13.619,310.68,0
Barcelona,3,1.377,518.54,0
London,1,3.164,476.96,1
Amsterdam,1,1.332,786.45,0
Barcelona,0,1.158,468.73,1
London,1,3.515,399.59,1
London,3,6.747,1237.09,0
London,0,8.163,252.12,0
London,0,3.935,345.49,0
London,1,6.038,298.45,0
London,1,2.571,542.58,0
London,2,3.196,730.5,0
